"","X","title","main_speaker","new_views","published_date","description","speaker_occupation","num_speaker","duration","comments","tags","languages","url","funny","courageous","confusing","beautiful","unconvincing","longwinded","informative","inspiring","fascinating","ingenious","persuasive","jawdrop","obnoxious","OK","top_rating","bottom_rating"
"1271",1271,"The astonishing hidden world of the deep ocean","Robert Ballard",1030804.933,"20-05-2008","Ocean explorer Robert Ballard takes us on a mindbending trip to hidden worlds underwater, where he and other researchers are finding unexpected life, resources, even new mountains. He makes a case for serious exploration and mapping. Google Ocean, anyone?","Oceanographer",1,1099,111,"['adventure', 'animals', 'biodiversity', 'education', 'exploration', 'fish', 'oceans', 'science', 'submarine']",23,"https://www.ted.com/talks/robert_ballard_on_exploring_the_oceans
",332,623,557,118,704,366,70,70,39,25,7,20,4,5,"unconvincing","obnoxious"
"1272",1272,"The era of personal DNA testing is here","Sebastian Kraves",1030106.984,"22-09-2016","From improving vaccines to modifying crops to solving crimes, DNA technology has transformed our world. Now, for the first time in history, anyone can experiment with DNA at home, in their kitchen, using a device smaller than a shoebox. We are living in a personal DNA revolution, says biotech entrepreneur Sebastian Kraves, where the secrets buried in DNA are yours to find.","Biotech entrepreneur",1,784,10,"['DNA', 'Vaccines', 'agriculture', 'biology', 'biotech', 'cancer', 'disease', 'farming', 'forensics', 'future', 'innovation', 'molecular biology', 'nature', 'science', 'technology']",22,"https://www.ted.com/talks/sebastian_kraves_the_era_of_personal_dna_testing_is_here
",41,170,117,7,70,111,28,9,31,15,9,26,2,3,"courageous","obnoxious"
"1273",1273,"Lifesaving scientific tools made of paper","Manu Prakash",1029737.255,"10-07-2017","Inventor Manu Prakash turns everyday materials into powerful scientific devices, from paper microscopes to a clever new mosquito tracker. From the TED Fellows stage, he demos Paperfuge, a hand-powered centrifuge inspired by a spinning toy that costs 20 cents to make and can do the work of a $1,000 machine, no electricity required.","Physicist, inventor",1,838,27,"['TED Fellows', 'disease', 'health care', 'innovation', 'invention', 'medicine', 'product design']",10,"https://www.ted.com/talks/manu_prakash_lifesaving_scientific_tools_made_of_paper
",94,75,114,47,108,10,14,24,13,0,0,0,0,0,"confusing","ingenious"
"1274",1274,"The nit-picking glory of The New Yorker's Comma Queen","Mary Norris",1029083.884,"16-04-2016","""Copy editing for The New Yorker is like playing shortstop for a Major League Baseball team -- every little movement gets picked over by the critics,"" says Mary Norris, who has played the position for more than thirty years. In that time, she's gotten a reputation for sternness and for being a ""comma maniac,"" but this is unfounded, she says. Above all, her work is aimed at one thing: making authors look good. Explore The New Yorker's distinctive style with the person who knows it best in this charming talk.","Copy editor",1,589,36,"['communication', 'composing', 'grammar', 'journalism', 'language', 'storytelling', 'writing']",23,"https://www.ted.com/talks/mary_norris_the_nit_picking_glory_of_the_new_yorker_s_comma_queen
",60,61,172,9,66,156,24,26,31,4,3,8,4,2,"confusing","OK"
"1275",1275,"Fractals and the art of roughness","Benoit Mandelbrot",1028960.305,"06-07-2010","At TED2010, mathematics legend Benoit Mandelbrot develops a theme he first discussed at TED in 1984 -- the extreme complexity of roughness, and the way that fractal math can find order within patterns that seem unknowably complicated.","Mathematician",1,1029,127,"['math']",29,"https://www.ted.com/talks/benoit_mandelbrot_fractals_the_art_of_roughness
",69,241,107,482,319,225,66,220,2,88,45,16,84,7,"beautiful","fascinating"
"1276",1276,"Watson, Jeopardy and me, the obsolete know-it-all","Ken Jennings",1028925.779,"06-04-2013","Trivia whiz Ken Jennings has made a career as a keeper of facts; he holds the longest winning streak in history on the US quiz show Jeopardy. But in 2011, he played a challenge match against IBM's supercomputer Watson -- and lost. With humor and humility, Jennings tells us how it felt to have a computer literally beat him at his own game, and makes the case for good old-fashioned human knowledge.","Know-it-all",1,1072,187,"['AI', 'TEDx', 'computers', 'entertainment', 'robots', 'technology']",24,"https://www.ted.com/talks/ken_jennings_watson_jeopardy_and_me_the_obsolete_know_it_all
",36,39,379,181,222,267,267,75,43,48,3,21,15,12,"confusing","persuasive"
"1277",1277,"Easy DIY projects for kid engineers","Fawn Qiu",1028522.928,"11-11-2016","TED Resident Fawn Qiu designs fun, low-cost projects that use familiar materials like paper and fabric to introduce engineering to kids. In this quick, clever talk, she shares how nontraditional workshops like hers can change the perception of technology and inspire students to participate in creating it.","Technologist",1,423,18,"['TED Residency', 'children', 'computers', 'creativity', 'design', 'education', 'engineering', 'innovation', 'invention', 'personal growth', 'programming', 'teaching', 'technology']",33,"https://www.ted.com/talks/fawn_qiu_easy_diy_projects_for_kid_engineers
",255,292,351,70,173,116,22,42,30,47,6,4,6,0,"confusing","OK"
"1278",1278,"Embrace your inner girl","Eve Ensler",1028077.22,"27-01-2010","In this passionate talk, Eve Ensler declares that there is a girl cell in us all -- a cell that we have all been taught to suppress. She tells heartfelt stories of girls around the world who have overcome shocking adversity and violence to reveal the astonishing strength of being a girl.","Playwright, activist",1,1194,472,"['culture', 'feminism', 'gender', 'self', 'social change', 'women']",27,"https://www.ted.com/talks/eve_ensler_embrace_your_inner_girl
",549,870,160,71,111,152,434,192,24,32,111,31,44,66,"courageous","fascinating"
"1279",1279,"How to land on a comet","Fred Jansen",1027791.028,"10-04-2015","As manager of the Rosetta mission, Fred Jansen was responsible for the successful 2014 landing of a probe on the comet known as 67P/Churyumov-Gerasimenko. In this fascinating and funny talk, Jansen reveals some of the intricate calculations that went into landing the Philae probe on a comet 500 million kilometers from Earth -- and shares some incredible photographs taken along the way.","Space explorer",1,1067,46,"['NASA', 'Planets', 'asteroid', 'big bang', 'engineering', 'flight', 'human origins', 'life', 'physics', 'rocket science', 'science', 'solar system', 'space', 'technology']",26,"https://www.ted.com/talks/fred_jansen_how_to_land_on_a_comet
",32,82,153,264,80,142,28,78,8,2,21,2,6,0,"beautiful","OK"
"1280",1280,"What rivers can tell us about the earth's history","Liz Hajek",1027631.066,"13-07-2017","Rivers are one of nature's most powerful forces -- they bulldoze mountains and carve up the earth, and their courses are constantly moving. Understanding how they form and how they'll change is important for those that call their banks and deltas home. In this visual-packed talk, geoscientist Liz Hajek shows us how rocks deposited by ancient rivers can be used as a time machine to study the history of the earth, so we can figure out how to more sustainably live on it today.","Geoscientist",1,668,12,"['TEDx', 'ancient world', 'climate change', 'environment', 'nature', 'rivers', 'science', 'water']",12,"https://www.ted.com/talks/liz_hajek_what_rivers_can_tell_us_about_the_earth_s_history
",11,21,6,4,40,6,7,1,1,1,0,0,0,0,"unconvincing","persuasive"
"1281",1281,"How fake news does real harm","Stephanie Busari",1027378.067,"25-04-2017","On April 14, 2014, the terrorist organization Boko Haram kidnapped more than 200 schoolgirls from the town of Chibok, Nigeria. Around the world, the crime became epitomized by the slogan #BringBackOurGirls -- but in Nigeria, government officials called the crime a hoax, confusing and delaying efforts to rescue the girls. In this powerful talk, journalist Stephanie Busari points to the Chibok tragedy to explain the deadly danger of fake news and what we can do to stop it.","Journalist",1,386,53,"['Africa', 'communication', 'community', 'global issues', 'humanity', 'journalism', 'social change', 'society', 'terrorism', 'trafficking', 'writing']",29,"https://www.ted.com/talks/stephanie_busari_how_fake_news_does_real_harm
",121,171,125,96,30,15,32,22,30,2,2,2,7,0,"courageous","OK"
"1282",1282,"How the teddy bear taught us compassion","Jon Mooallem",1025194.214,"27-05-2014","In 1902, President Theodore Roosevelt legendarily spared the life of a black bear -- and prompted a plush toy craze for so-called ""teddy bears."" Writer Jon Mooallem digs into this toy story and asks us to consider how the tales we tell about wild animals have real consequences for a species' chance of survival -- and the natural world at large.","Writer",1,856,44,"['environment', 'nature']",26,"https://www.ted.com/talks/jon_mooallem_the_strange_story_of_the_teddy_bear_and_what_it_reveals_about_our_relationship_to_animals
",312,150,45,167,90,104,64,17,39,2,13,17,6,6,"funny","ingenious"
"1283",1283,"3 ways good design makes you happy","Don Norman",1025172.1,"09-03-2009","In this talk from 2003, design critic Don Norman turns his incisive eye toward beauty, fun, pleasure and emotion, as he looks at design that makes people happy. He names the three emotional cues that a well-designed product must hit to succeed.","Cognitive scientist and design critic",1,761,45,"['creativity', 'design', 'happiness']",30,"https://www.ted.com/talks/don_norman_on_design_and_emotion
",308,190,196,80,77,277,136,72,4,21,11,28,13,10,"funny","fascinating"
"1284",1284,"3 reasons we still haven¡¯t gotten rid of malaria","Sonia Shah",1024052.316,"13-09-2013","We¡¯ve known how to cure malaria since the 1600s, so why does the disease still kill hundreds of thousands every year? It¡¯s more than just a problem of medicine, says journalist Sonia Shah. A look into the history of malaria reveals three big-picture challenges to its eradication. Photos: Adam Nadel.","Science writer",1,918,98,"['big problems', 'disease', 'global issues', 'history', 'insects']",28,"https://www.ted.com/talks/sonia_shah_3_reasons_we_still_haven_t_gotten_rid_of_malaria
",142,240,18,30,17,43,55,20,8,12,7,4,2,0,"courageous","OK"
"1285",1285,"Should you be able to patent a human gene?","Tania Simoncelli",1023249.305,"28-01-2016","A decade ago, US law said human genes were patentable -- which meant patent holders had the right to stop anyone from sequencing, testing or even looking at a patented gene. Troubled by the way this law both harmed patients and created a barrier to biomedical innovation, Tania Simoncelli and her colleagues at the ACLU challenged it. In this riveting talk, hear the story of how they took a case everybody told them they would lose all the way to the Supreme Court.","Policy expert",1,1085,64,"['Debate', 'TEDx', 'activism', 'biotech', 'cancer', 'genetics', 'government', 'health', 'health care', 'innovation', 'law', 'medical research', 'medicine', 'nature', 'pharmaceuticals', 'policy', 'public health', 'science', 'society', 'technology']",22,"https://www.ted.com/talks/tania_simoncelli_should_you_be_able_to_patent_a_human_gene
",183,6,172,30,49,38,117,29,72,23,9,7,9,5,"funny","OK"
"1286",1286,"How I fail at being disabled","Susan Robinson",1023114.639,"21-07-2017","Born with a genetic visual impairment that has no correction or cure, Susan Robinson is legally blind (or partially sighted, as she prefers it) and entitled to a label she hates: ""disabled."" In this funny and personal talk, she digs at our hidden biases by explaining five ways she flips expectations of disability upside down.","Business executive, entrepreneur",1,467,15,"['Blindness', 'TED Residency', 'disability', 'failure', 'identity', 'personal growth']",16,"https://www.ted.com/talks/susan_robinson_how_i_fail_at_being_disabled
",34,65,20,73,15,27,13,15,5,3,0,0,0,0,"beautiful","persuasive"
"1287",1287,"My wish: The Charter for Compassion","Karen Armstrong",1023073.165,"19-03-2008","People want to be religious, says scholar Karen Armstrong; we should help make religion a force for harmony. She asks the TED community to help build a Charter for Compassion -- to restore the Golden Rule as the central global religious doctrine.","Religious scholar",1,1288,456,"['TED Prize', 'collaboration', 'faith', 'global issues', 'religion']",30,"https://www.ted.com/talks/karen_armstrong_makes_her_ted_prize_wish_the_charter_for_compassion
",528,86,340,240,458,1111,318,123,97,37,91,50,15,26,"longwinded","obnoxious"
"1288",1288,"Fighting with nonviolence","Scilla Elworthy",1022256.311,"06-08-2012","How do you deal with a bully without becoming a thug? In this wise and soulful talk, peace activist Scilla Elworthy maps out the skills we need -- as nations and individuals -- to fight extreme force without using force in return.?To answer the question of why and how nonviolence works, she?evokes historical heroes --?Aung San Suu Kyi, Mahatma Gandhi, Nelson Mandela -- and the personal philosophies that powered their peaceful protests.","Peace builder",1,947,203,"['TEDx', 'activism', 'global issues', 'peace', 'terrorism', 'violence', 'war']",32,"https://www.ted.com/talks/scilla_elworthy_fighting_with_non_violence
",98,18,525,155,199,210,98,113,50,49,18,21,28,7,"confusing","OK"
"1289",1289,"Buildings that blend nature and city","Jeanne Gang",1021792.156,"25-01-2017","A skyscraper that channels the breeze ... a building that creates community around a hearth ... Jeanne Gang uses architecture to build relationships. In this engaging tour of her work, Gang invites us into buildings large and small, from a surprising local community center to a landmark Chicago skyscraper. ""Through architecture, we can do much more than create buildings,"" she says. ""We can help steady this planet we all share.""","Architect",1,715,31,"['MacArthur grant', 'architecture', 'beauty', 'cities', 'climate change', 'collaboration', 'community', 'design', 'environment', 'future', 'humanity', 'infrastructure', 'innovation', 'nature', 'public spaces', 'social change', 'society']",20,"https://www.ted.com/talks/jeanne_gang_buildings_that_blend_nature_and_city
",204,340,158,162,205,22,35,8,9,30,33,89,9,25,"courageous","inspiring"
"1290",1290,"My mother¡¯s strange definition of empowerment","Khadija Gbla",1021626.107,"30-01-2015","Khadija Gbla grew up caught between two definitions of what it means to be an ¡°empowered woman.¡± While her Sierra Leonean mother thought that circumsizing her ? and thus stifling her sexual urges ? was the ultimate form of empowerment, her culture as a teenager in Australia told her that she deserved pleasure and that what happened to her was called ¡°female genital mutilation.¡± In a candid and funny talk, she shares what it was like to make her way in a ¡°clitoris-centric society,¡± and how she works to make sure other women don¡¯t have to figure this out. (Warning: This talk contains hard-to-hear details.)","Cross-cultural consultant",1,1120,93,"['Africa', 'TEDx', 'culture', 'global issues', 'women']",24,"https://www.ted.com/talks/khadija_gbla_my_mother_s_strange_definition_of_empowerment
",629,327,342,164,16,8,6,120,98,11,69,35,8,2,"funny","OK"
"1291",1291,"The real harm of the global arms trade","Samantha Nutt",1021315.388,"02-06-2016","In some parts of the world, it's easier to get an automatic rifle than a glass of clean drinking water. Is this just the way it is? Samantha Nutt, doctor and founder of the international humanitarian organization War Child, explores the global arms trade -- and suggests a bold, common sense solution for ending the cycle of violence. ""War is ours,"" she says. ""We buy it, sell it, spread it and wage it. We are therefore not powerless to solve it.""","Doctor, writer and humanitarian",1,814,71,"['Africa', 'Guns', 'activism', 'big problems', 'business', 'children', 'community', 'death', 'economics', 'global issues', 'humanity', 'inequality', 'security', 'society', 'violence', 'war']",23,"https://www.ted.com/talks/samantha_nutt_the_real_harm_of_the_global_arms_trade
",23,215,209,172,215,60,26,65,28,29,29,4,12,0,"courageous","OK"
"1292",1292,"Photos that changed the world","Jonathan Klein",1021080.061,"13-04-2010","Photographs do more than document history -- they make it. At TED University, Jonathan Klein of Getty Images shows some of the most iconic, and talks about what happens when a generation sees an image so powerful it can't look away -- or back.","Executive",1,362,117,"['global issues', 'media', 'photography', 'poverty', 'war']",36,"https://www.ted.com/talks/jonathan_klein_photos_that_changed_the_world
",71,184,158,527,215,71,90,168,182,20,48,15,9,1,"beautiful","OK"
"1293",1293,"Growing evidence of brain plasticity","Michael Merzenich",1019631.736,"28-04-2009","Neuroscientist Michael Merzenich looks at one of the secrets of the brain's incredible power: its ability to actively re-wire itself. He's researching ways to harness the brain's plasticity to enhance our skills and recover lost function.","Neuroscientist",1,1387,130,"['brain', 'computers', 'consciousness', 'entrepreneur', 'mind']",21,"https://www.ted.com/talks/michael_merzenich_on_the_elastic_brain
",276,95,21,18,363,82,30,98,126,66,43,3,16,14,"unconvincing","jawdrop"
"1294",1294,"Why stay in Chernobyl? Because it's home.","Holly Morris",1018215.609,"31-10-2013","Chernobyl was the site of the world's worst nuclear accident and, for the past 27 years, the area around the plant has been known as the Exclusion Zone. And yet, a community of about 200 people live there -- almost all of them elderly women. These proud grandmas defied orders to relocate because their connection to their homeland and to their community are ""forces that rival even radiation."" ","Explorer and filmmaker",1,531,172,"['adventure', 'disaster relief', 'nuclear energy']",31,"https://www.ted.com/talks/holly_morris_why_stay_in_chernobyl_because_it_s_home
",157,121,40,85,71,151,39,28,7,28,5,17,10,3,"funny","OK"
"1295",1295,"The secret structure of great talks","Nancy Duarte",1017023.7,"05-02-2012","From the ""I have a dream"" speech to Steve Jobs' iPhone launch, many great talks have a common structure that helps their message resonate with listeners. In this talk, presentation expert Nancy Duarte shares practical lessons on how to make a powerful call-to-action.","CEO, presentation designer",1,1090,245,"['TEDx', 'communication', 'presentation', 'storytelling']",0,"https://www.ted.com/talks/nancy_duarte_the_secret_structure_of_great_talks
",100,91,49,1380,600,215,702,857,251,116,75,226,287,35,"beautiful","OK"
"1296",1296,"Why we should trust scientists","Naomi Oreskes",1017012.344,"26-06-2014","Many of the world's biggest problems require asking questions of scientists -- but why should we believe what they say? Historian of science Naomi Oreskes thinks deeply about our relationship to belief and draws out three problems with common attitudes toward scientific inquiry -- and gives her own reasoning for why we ought to trust science.","Historian of science",1,1154,338,"['astronomy', 'climate change', 'history', 'philosophy', 'religion', 'science']",24,"https://www.ted.com/talks/naomi_oreskes_why_we_should_believe_in_science
",56,429,100,258,38,143,36,59,20,101,44,11,58,5,"courageous","OK"
"1297",1297,"What nonprofits can learn from Coca-Cola","Melinda Gates",1016695.942,"12-10-2010","Melinda Gates makes a provocative case: What can nonprofits learn from mega-corporations like Coca-Cola, whose global network of marketers and distributors ensures that every remote village wants -- and can get -- an ice-cold Coke? Maybe this model could work for distributing health care, vaccinations, sanitation, even condoms ...","Philanthropist",1,988,322,"['TEDx', 'business', 'global development', 'global issues', 'philanthropy', 'sanitation']",31,"https://www.ted.com/talks/melinda_french_gates_what_nonprofits_can_learn_from_coca_cola
",504,379,164,383,69,45,20,59,75,46,86,48,53,13,"funny","OK"
"1298",1298,"The unstoppable walk to political reform","Lawrence Lessig",1016274.998,"04-04-2014","Seven years ago, Internet activist Aaron Swartz convinced Lawrence Lessig to take up the fight for political reform. A year after Swartz's tragic death, Lessig continues his campaign to free US politics from the stranglehold of corruption. In this fiery, deeply personal talk, he calls for all citizens to engage, and offers a heartfelt reminder to never give up hope.","Legal activist",1,824,228,"['corruption', 'democracy', 'government', 'politics']",27,"https://www.ted.com/talks/lawrence_lessig_the_unstoppable_walk_to_political_reform
",532,66,95,191,253,106,32,31,42,23,10,4,11,6,"funny","jawdrop"
"1299",1299,"A neural portrait of the human mind","Nancy Kanwisher",1015485.972,"02-10-2014","Brain imaging pioneer Nancy Kanwisher, who uses fMRI scans to see activity in brain regions (often her own), shares what she and her colleagues have learned: The brain is made up of both highly specialized components and general-purpose ""machinery."" Another surprise: There's so much left to learn.","Brain researcher",1,1060,271,"['brain', 'neuroscience', 'visualizations']",28,"https://www.ted.com/talks/nancy_kanwisher_the_brain_is_a_swiss_army_knife
",138,512,488,133,49,83,67,10,38,17,3,12,16,1,"courageous","OK"
"1300",1300,"A 40-year plan for energy","Amory Lovins",1015150.322,"02-05-2012","In this intimate talk filmed at TED's offices, energy innovator Amory Lovins shows how to get the US off oil and coal by 2050, $5 trillion cheaper, with no Act of Congress, led by business for profit. The key is integrating all four energy-using sectors?and four kinds of innovation.","Physicist, energy guru",1,1630,374,"['Natural resources', 'alternative energy', 'business', 'climate change', 'design', 'economics', 'energy', 'engineering', 'environment', 'future', 'green', 'industrial design', 'innovation', 'invention', 'materials', 'science', 'solar energy', 'sustainability', 'technology', 'wind energy']",22,"https://www.ted.com/talks/amory_lovins_a_50_year_plan_for_energy
",104,403,33,111,426,325,201,136,45,192,57,18,12,19,"unconvincing","obnoxious"
"1301",1301,"A climate solution where all sides can win","Ted Halstead",1014652.703,"17-05-2017","Why are we so deadlocked on climate, and what would it take to overcome the seemingly insurmountable barriers to progress? Policy entrepreneur Ted Halstead proposes a transformative solution based on the conservative principles of free markets and limited government. Learn more about how this carbon dividends plan could trigger an international domino effect towards a more popular, cost-effective and equitable climate solution.","Policy entrepreneur, climate expert, author",1,787,259,"['big problems', 'business', 'china', 'climate change', 'economics', 'global issues', 'goal-setting', 'government', 'policy', 'politics', 'pollution', 'society']",13,"https://www.ted.com/talks/ted_halstead_a_climate_solution_where_all_sides_can_win
",155,150,145,58,140,33,49,1,23,9,4,11,5,16,"funny","inspiring"
"1302",1302,"My country will be underwater soon -- unless we work together","Anote Tong",1014055.265,"19-11-2015","For the people of Kiribati, climate change isn't something to be debated, denied or legislated against -- it's an everyday reality. The low-lying Pacific island nation may soon be underwater, thanks to rising sea levels. In a personal conversation with TED Curator Chris Anderson, Kiribati President Anote Tong discusses his country's present climate catastrophe and its imperiled future. ""In order to deal with climate change, there's got to be sacrifice. There's got to be commitment,"" he says. ""We've got to tell people that the world has changed.""","President of the Republic of Kiribati",1,1275,65,"['big problems', 'climate change', 'environment', 'fish', 'future', 'global issues', 'humanity', 'mission blue', 'natural disaster', 'oceans', 'policy', 'pollution', 'science', 'social change']",22,"https://www.ted.com/talks/anote_tong_my_country_will_be_underwater_soon_unless_we_work_together
",11,59,8,75,115,65,8,12,32,14,5,24,10,3,"unconvincing","OK"
"1303",1303,"A mini robot -- powered by your phone","Keller Rinaudo",1013771.999,"10-04-2013","Your smartphone may feel like a friend -- but a true friend would give you a smile once in a while. At TED2013, Keller Rinaudo demos Romo, the smartphone-powered mini robot who can motor along with you on a walk, slide you a cup of coffee across the table, and react to you with programmable expressions. ","Robotics entrepreneur",1,350,183,"['robots', 'technology']",35,"https://www.ted.com/talks/keller_rinaudo_a_mini_robot_powered_by_your_phone
",120,162,101,100,43,136,75,23,79,33,26,2,8,21,"courageous","jawdrop"
"1304",1304,"Why we need strangeness","Maria Bezaitis",1012533.692,"15-05-2013","In our digital world, social relations have become mediated by data. Without even realizing it, we're barricading ourselves against strangeness -- people and ideas that don't fit the patterns of who we already know, what we already like and where we've already been. Maria Bezaitis makes a bold call for technology to deliver us to what and who we need, even if it's unfamiliar and strange.","Computer engineer",1,480,128,"['culture', 'data', 'sociology', 'technology']",30,"https://www.ted.com/talks/maria_bezaitis_the_surprising_need_for_strangeness
",28,69,16,141,54,66,45,104,124,91,37,35,15,5,"beautiful","OK"
"1305",1305,"Let's put birth control back on the agenda","Melinda Gates",1011578.527,"12-04-2012","Contraception. The topic has become controversial in recent years. But should it be? Melinda Gates believes that many of the world's social change issues depend on ensuring that women are able to control their rate of having kids. In this significant talk at TEDxChange, she makes the case for the world to re-examine an issue she intends to lend her voice to for the next decade.","Philanthropist",1,1527,650,"['TEDx', 'culture', 'global issues', 'health care', 'population', 'sex']",27,"https://www.ted.com/talks/melinda_gates_let_s_put_birth_control_back_on_the_agenda
",77,54,310,389,243,231,76,25,37,23,25,17,48,6,"beautiful","OK"
"1306",1306,"His and hers ¡¦ healthcare","Paula Johnson",1011544.507,"23-01-2014","Every cell in the human body has a sex, which means that men and women are different right down to the cellular level. Yet too often, research and medicine ignore this insight -- and the often startlingly different ways in which the two sexes respond to disease or treatment. As pioneering doctor Paula Johnson describes in this thought-provoking talk, lumping everyone in together means we essentially leave women's health to chance. It's time to rethink.","Women's-health expert",1,882,124,"['depression', 'health', 'heart health', 'women']",32,"https://www.ted.com/talks/paula_johnson_his_and_hers_healthcare
",109,185,105,18,59,22,9,20,14,6,10,11,34,3,"courageous","OK"
"1307",1307,"Science didn't understand my kids' rare disease until I decided to study it","Sharon Terry",1010195.571,"16-06-2017","Meet Sharon Terry, a former college chaplain and stay-at-home mom who took the medical research world by storm when her two young children were diagnosed with a rare disease known as pseudoxanthoma elasticum (PXE). In this knockout talk, Terry explains how she and her husband became citizen scientists, working midnight shifts at the lab to find the gene behind PXE and establishing mandates that require researchers to share biological samples and work together.","Citizen biomedical researcher",1,902,14,"['Bioethics', 'DNA', 'TEDMED', 'biology', 'children', 'collaboration', 'disease', 'epidemiology', 'genetics', 'health', 'humanity', 'illness', 'medical research', 'medicine', 'parenting', 'science']",13,"https://www.ted.com/talks/sharon_terry_science_didn_t_understand_my_kids_rare_disease_until_i_decided_to_study_it
",113,150,48,28,54,7,11,56,17,1,3,0,0,0,"courageous","jawdrop"
"1308",1308,"The untapped genius that could change science for the better","Jedidah Isler",1009955.634,"08-12-2015","Jedidah Isler dreamt of becoming an astrophysicist since she was a young girl, but the odds were against her: At that time, only 18 black women in the United States had ever earned a PhD in a physics-related discipline. In this personal talk, she shares the story of how she became the first black woman to earn a PhD in astrophysics from Yale -- and her deep belief in the value of diversity to science and other STEM fields. ""Do not think for one minute that because you are who you are, you cannot be who you imagine yourself to be,"" she says. ""Hold fast to those dreams and let them carry you into a world you can't even imagine.""","Astrophysicist",1,822,28,"['TED Fellows', 'astronomy', 'future', 'goal-setting', 'identity', 'inequality', 'physics', 'potential', 'race', 'science', 'society', 'space', 'universe', 'women']",20,"https://www.ted.com/talks/jedidah_isler_the_untapped_genius_that_could_change_science_for_the_better
",101,141,252,20,92,36,15,39,10,11,19,28,7,5,"confusing","OK"
"1309",1309,"Do kids think of sperm donors as family?","Veerle Provoost",1009844.999,"10-12-2016","How do we define a parent -- or a family? Bioethicist Veerle Provoost explores these questions in the context of non-traditional families, ones brought together by adoption, second marriages, surrogate mothers and sperm donations. In this talk, she shares stories of how parents and children create their own family narratives.","Bioethicist",1,746,44,"['Bioethics', 'TEDx', 'biology', 'children', 'communication', 'creativity', 'family', 'genetics', 'humanity', 'identity', 'parenting']",23,"https://www.ted.com/talks/veerle_provoost_do_kids_think_of_sperm_donors_as_family
",49,137,90,62,15,35,3,10,43,28,1,8,5,3,"courageous","persuasive"
"1310",1310,"How butterflies self-medicate","Jaap de Roode",1009833.881,"10-02-2015","Just like us, the monarch butterfly sometimes gets sick thanks to a nasty parasite. But biologist Jaap de Roode noticed something interesting about the butterflies he was studying ? infected female butterflies would choose to lay their eggs on a specific kind of plant that helped their offspring avoid getting sick. How do they know to choose this plant? Think of it as ""the other butterfly effect"" ? which could teach us to find new medicines for the treatment of human disease.","Biologist",1,375,30,"['TEDYouth', 'animals', 'biology', 'biomimicry', 'disease', 'health', 'insects', 'medical research', 'medicine', 'microbes', 'microbiology', 'plants', 'science']",30,"https://www.ted.com/talks/jaap_de_roode_how_butterflies_self_medicate
",37,83,50,180,11,63,228,8,66,3,36,7,10,6,"informative","ingenious"
"1311",1311,"A 3D-printed jumbo jet?","Bastian Schaefer",1009474.621,"30-07-2013","Designer Bastian Schaefer shows off a speculative design for the future of jet planes, with a skeleton inspired by strong, flexible, natural forms and by the needs of the world's, ahem, growing population. Imagine an airplane that's full of light and space -- and built up from generative parts in a 3D printer.","Aircraft engineer",1,358,121,"['design', 'flight', 'industrial design', 'manufacturing', 'transportation']",33,"https://www.ted.com/talks/bastian_schaefer_a_3d_printed_jumbo_jet
",109,42,108,69,118,76,12,78,20,9,10,14,20,4,"unconvincing","OK"
"1312",1312,"Everyday moments, caught in time","Billy Collins",1009108.406,"24-03-2012","Combining dry wit with artistic depth, Billy Collins shares a project in which several of his poems were turned into delightful animated films in a collaboration with Sundance Channel. Five of them are included in this wonderfully entertaining and moving talk -- and don't miss the hilarious final poem!","Poet",1,913,96,"['culture', 'entertainment', 'humor', 'poetry']",27,"https://www.ted.com/talks/billy_collins_everyday_moments_caught_in_time
",246,289,156,433,130,7,60,23,9,22,23,7,2,13,"beautiful","obnoxious"
"1313",1313,"What I've learned from my autistic brothers","Faith Jegede Cole",1008826.117,"03-11-2012","Faith Jegede tells the moving and funny story of growing up with her two brothers, both autistic -- and both extraordinary. In this talk from the TED Talent Search, she reminds us to pursue a life beyond what is normal.","Writer",1,320,169,"['Autism spectrum disorder', 'brain', 'culture', 'mental health']",38,"https://www.ted.com/talks/faith_jegede_what_i_ve_learned_from_my_autistic_brothers
",480,250,110,615,9,100,38,32,91,75,15,18,5,13,"beautiful","obnoxious"
"1314",1314,"There's more to life than being happy","Emily Esfahani Smith",1008605.163,"12-09-2017","Our culture is obsessed with happiness, but what if there's a more fulfilling path? Happiness comes and goes, says writer Emily Esfahani Smith, but having meaning in life -- serving something beyond yourself and developing the best within you -- gives you something to hold onto. Learn more about the difference between being happy and having meaning as Esfahani Smith offers four pillars of a meaningful life.","Author",1,738,39,"['happiness', 'humanity', 'personal growth', 'psychology', 'relationships', 'storytelling']",2,"https://www.ted.com/talks/emily_esfahani_smith_there_s_more_to_life_than_being_happy
",484,109,294,677,61,124,170,8,27,29,6,9,8,3,"beautiful","OK"
"1315",1315,"Please don't take my Air Jordans","Lemon Andersen",1007927.425,"08-12-2012","Would you kill for a pair of Air Jordans? Lemon Andersen spins a tale of someone who did, reciting a poem by Reg E. Gaines. These verses taught Lemon that poetry could be about more than self-expression, and could sound like music when given rhythm and infused with the grit of the New York streets around him.","Poet and actor",1,535,84,"['TEDYouth', 'performance', 'poetry', 'spoken word']",23,"https://www.ted.com/talks/lemon_andersen_performs_please_don_t_take_my_air_jordans
",170,54,88,50,36,41,25,73,168,10,104,102,35,13,"funny","ingenious"
